id,clave,nombre,jurisdiccion,created_at,updated_at,deleted_at
1,1,ACACOYAGUA,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
2,2,ACALA,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
3,3,ACAPETAHUA,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
4,4,ALTAMIRANO,9,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
5,5,AMATÁN,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
6,6,"AMATENANGO DE LA FRONTERA",10,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
7,7,"AMATENANGO DEL VALLE",2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
8,8,"ANGEL ALBINO CORZO",4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
9,9,ARRIAGA,8,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
10,10,"BEJUCAL DE OCAMPO",10,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
11,11,"BELLA VISTA",10,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
12,12,BERRIOZÁBAL,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
13,13,BOCHIL,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
14,14,"EL BOSQUE",5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
15,15,CACAHOATÁN,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
16,16,CATAZAJÁ,6,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
17,17,CINTALAPA,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
18,18,COAPILLA,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
19,19,"COMITÁN DE DOMÍNGUEZ",3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
20,20,"LA CONCORDIA",4,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
21,21,COPAINALÁ,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
22,22,CHALCHIHUITÁN,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
23,23,CHAMULA,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
24,24,CHANAL,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
25,25,CHAPULTENANGO,5,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
26,26,CHENALHÓ,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
27,27,"CHIAPA DE CORZO",1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
28,28,CHIAPILLA,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
29,29,CHICOASÉN,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
30,30,CHICOMUSELO,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
31,31,CHILÓN,9,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
32,32,ESCUINTLA,7,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
