id,contrato_id,clues,created_at,updated_at,deleted_at
1,1,CSSSA000045,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
2,1,CSSSA000412,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
3,3,CSSSA000453,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
4,1,CSSSA000651,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
5,1,CSSSA000832,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
6,2,CSSSA001030,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
7,1,CSSSA001626,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
8,3,CSSSA002611,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
9,2,CSSSA003265,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
10,3,CSSSA004496,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
11,3,CSSSA004595,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
12,3,CSSSA004945,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
13,3,CSSSA005510,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
14,3,CSSSA005773,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
15,3,CSSSA006403,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
16,3,CSSSA006934,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
17,3,CSSSA007074,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
18,1,CSSSA007540,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
19,3,CSSSA008264,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
20,1,CSSSA009162,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
21,1,CSSSA017336,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
22,3,CSSSA017341,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
23,2,CSSSA017353,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
24,1,CSSSA017365,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
25,3,CSSSA017370,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
26,3,CSSSA017382,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
27,3,CSSSA017394,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
28,3,CSSSA017406,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
29,3,CSSSA017411,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
30,2,CSSSA017504,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
31,1,CSSSA017516,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
32,3,CSSSA017521,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
33,3,CSSSA017726,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
34,3,CSSSA017731,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
35,3,CSSSA018740,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
36,3,CSSSA018752,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
37,3,CSSSA018764,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
38,2,CSSSA018776,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
39,2,CSSSA018781,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
40,3,CSSSA018793,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
41,1,CSSSA018875,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
42,3,CSSSA019242,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
43,3,CSSSA019481,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
44,3,CSSSA019645,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
45,1,CSSSA019954,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
46,3,CSSSAHGREFO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
47,2,JURISMOTO10,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
48,1,CSSSA012225,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
49,1,CSSSA012230,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
50,1,CSSSA012242,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
51,1,CSSSA012254,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
52,1,CSSSA012266,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
53,1,CSSSA012271,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
54,1,CSSSA012283,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
