id,generico_id,grupo_insumo_id,created_at,updated_at,deleted_at
1,1,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
2,2,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
3,3,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
4,4,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
5,5,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
6,6,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
7,7,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
8,8,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
9,9,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
10,10,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
11,11,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
12,12,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
13,13,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
14,14,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
15,15,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
16,16,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
17,17,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
18,18,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
19,19,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
20,20,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
21,21,1,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
22,22,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
23,23,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
24,24,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
25,25,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
26,26,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
27,27,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
28,28,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
29,29,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
30,30,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
31,31,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
32,32,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
33,33,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
34,34,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
35,35,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
36,36,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
37,37,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
38,38,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
39,39,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
40,40,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
41,41,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
42,42,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
43,43,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
44,44,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
45,45,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
46,46,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
47,47,2,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
48,48,3,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
