id,tipo,nombre,numero,created_at,updated_at,deleted_at
1,ME,Analgesia,1,NULL,NULL,NULL
2,ME,Anestesia,2,NULL,NULL,NULL
3,ME,Cardiología,3,NULL,NULL,NULL
4,ME,Dermatología,4,NULL,NULL,NULL
5,ME,"Endocrinología y Metabolismo",5,NULL,NULL,NULL
6,ME,"Enfermedades Infecciosas y Parasitarias",6,NULL,NULL,NULL
7,ME,"Enfermedades Inmunoalérgicas",7,NULL,NULL,NULL
8,ME,Gastroenterología,8,NULL,NULL,NULL
9,ME,Gineco-obstetricia,9,NULL,NULL,NULL
10,ME,Hematología,10,NULL,NULL,NULL
11,ME,Intoxicaciones,11,NULL,NULL,NULL
12,ME,"Nefrología y Urología",12,NULL,NULL,NULL
13,ME,Neumología,13,NULL,NULL,NULL
14,ME,Neurología,14,NULL,NULL,NULL
15,ME,Nutriología,15,NULL,NULL,NULL
16,ME,Oftalmología,16,NULL,NULL,NULL
17,ME,Oncología,17,NULL,NULL,NULL
18,ME,Otorrinolaringología,18,NULL,NULL,NULL
19,ME,"Planificación Familiar",19,NULL,NULL,NULL
20,ME,Psiquiatría,20,NULL,NULL,NULL
21,ME,"Reumatología y Traumatología",21,NULL,NULL,NULL
22,ME,"Soluciones Electrolíticas y Sustitutos del Plasma",22,NULL,NULL,NULL
23,ME,"Vacunas, Toxoides, Inmunoglobulinas, Antitoxinas",23,NULL,NULL,NULL
24,MC,"Central de Equipos y Esterilización.",1,NULL,NULL,NULL
25,MC,Estomatología.,2,NULL,NULL,NULL
26,MC,"Ginecología y Obstetricia.",3,NULL,NULL,NULL
27,MC,Médicas,4,NULL,NULL,NULL
28,MC,"Médicas y Quirúrgicas.",5,NULL,NULL,NULL
29,MC,"Medicina Preventiva.",6,NULL,NULL,NULL
30,MC,Oftalmología.,7,NULL,NULL,NULL
31,MC,"Planificación Familiar.",8,NULL,NULL,NULL
32,MC,Anestesiología.,9,NULL,NULL,NULL
33,MC,"Biologia de la reproduccion y ginecología",10,NULL,NULL,NULL
34,MC,"Cardiología Intervencionista.",11,NULL,NULL,NULL
35,MC,"Cardiología de Uso General.",12,NULL,NULL,NULL
36,MC,"Cardiología Para Diagnóstico.",13,NULL,NULL,NULL
37,MC,"Central de Equipos y Esterilización.",14,NULL,NULL,NULL
38,MC,"Cirugía Cardiotorácica y Cardiovascular.",15,NULL,NULL,NULL
39,MC,"Cirugía General.",16,NULL,NULL,NULL
40,MC,"Cirugía Máxilofacial.",17,NULL,NULL,NULL
41,MC,"Cirugía Reconstructiva.",18,NULL,NULL,NULL
42,MC,Estomatología.,19,NULL,NULL,NULL
43,MC,"Fisiología Pulmonar.",20,NULL,NULL,NULL
44,MC,"Ginecología y Obstetricia.",21,NULL,NULL,NULL
45,MC,"Médicas y Quirúrgicas.",22,NULL,NULL,NULL
46,MC,"Nefrología o Cirugía General.",23,NULL,NULL,NULL
47,MC,"Neurocirugía, Neuroradiología y Terapia",24,NULL,NULL,NULL
48,MC,Neuroendovascular.,25,NULL,NULL,NULL
49,MC,Otorrinolaringología.,26,NULL,NULL,NULL
50,MC,Quirúrgicas.,27,NULL,NULL,NULL
51,MC,Radiodiagnóstico.,28,NULL,NULL,NULL
52,MC,"Traumatología y Ortopedia.",29,NULL,NULL,NULL
53,MC,Urología.,30,NULL,NULL,NULL
54,MC,"Materiales de Uso Diverso.",31,NULL,NULL,NULL
55,AD,"AGENTES DE DIAGNÓSTICO",1,NULL,NULL,NULL
56,AD,RADIODIAGNÓSTICO,2,NULL,NULL,NULL
57,AD,"APARATOS Y EQUIPOS",3,NULL,NULL,NULL
58,AD,"INSTRUMENTAL ",4,NULL,NULL,NULL
59,AD,MATERIALES,5,NULL,NULL,NULL
60,AD,"ANATOMÍA PATOLÓGICA ",6,NULL,NULL,NULL
61,AD,"BANCO DE SANGRE",7,NULL,NULL,NULL
62,AD,"BIOLOGÍA DE LA REPRODUCCIÓN",8,NULL,NULL,NULL
63,AD,"BIOLOGÍA MOLECULAR",9,NULL,NULL,NULL
64,AD,GENÉTICA,10,NULL,NULL,NULL
65,AD,HEMATOLOGÍA,11,NULL,NULL,NULL
66,AD,HORMONAS,12,NULL,NULL,NULL
67,AD,"INMUNOLOGÍA CLÍNICA",13,NULL,NULL,NULL
68,AD,"MEDICINA NUCLEAR",14,NULL,NULL,NULL
69,AD,MICROBIOLOGÍA,15,NULL,NULL,NULL
70,AD,"QUÍMICA CLÍNICA",16,NULL,NULL,NULL
71,AD,"RADIOLOGÍA ",17,NULL,NULL,NULL
