clave,tipo,generico_id,es_causes,es_unidosis,tiene_fecha_caducidad,descripcion,created_at,updated_at,deleted_at
010.000.0071.00,ME,1689,0,0,1,"BENZATINA BENCILPENICILINA DE 600 000 UI, SUSPENSIÓN INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.",NULL,NULL,NULL
010.000.0101.00,ME,1689,1,0,1,"ÁCIDO  ACETILSALICÍLICO Tableta 500 mg 20 tabletas",NULL,NULL,NULL
010.000.0103.00,ME,1689,1,0,1,"ÁCIDO  ACETILSALICÍLICO Tableta soluble o  efervescente 300 mg 20 tabletas solubles  o efervescentes",NULL,NULL,NULL
010.000.0104.00,ME,1689,1,0,1,"PARACETAMOL Tableta 500 mg 10 tabletas",NULL,NULL,NULL
010.000.0105.00,ME,1689,1,0,1,"PARACETAMOL Supositorio 300 mg 3 supositorios",NULL,NULL,NULL
010.000.0106.00,ME,1689,1,0,1,"PARACETAMOL Solución oral 100 mg/ml Envase con gotero 15 ml",NULL,NULL,NULL
010.000.0108.00,ME,1689,1,0,1,"METAMIZOL SÓDICO Comprimido 500 mg 10 comprimidos",NULL,NULL,NULL
010.000.0109.00,ME,1689,1,0,1,"METAMIZOL SÓDICO Solución  inyectable 1 g/ 2 ml 3 ampolletas con 2 ml",NULL,NULL,NULL
010.000.0204.00,ME,1689,1,0,1,"ATROPINA Solución  inyectable 1 mg/ml 50 ampolletas con 1 ml",NULL,NULL,NULL
010.000.0233.00,ME,1689,1,0,1,"SEVOFLURANO Líquido o solución 250 ml Envase con 250 ml",NULL,NULL,NULL
010.000.0234.00,ME,1689,1,0,1,"DESFLURANO Líquido 240 ml. Envase con 240 ml.",NULL,NULL,NULL
010.000.0246.00,ME,1689,1,0,1,"PROPOFOL Emulsión  inyectable 200 mg/20 ml 5 ampolletas o frascos  ámpula de 20 ml",NULL,NULL,NULL
010.000.0247.00,ME,1689,1,0,1,"DEXMEDETOMIDINA Solución inyectable 200 microgramo 1 frasco ámpula",NULL,NULL,NULL
010.000.0252.00,ME,1689,1,0,1,"SUXAMETONIO, CLORURO DE Solución inyectable 40 mg/2 ml 5 ampolletas con 2 ml",NULL,NULL,NULL
010.000.0254.00,ME,1689,1,0,1,"VECURONIO Solución  inyectable 4 mg/1 ml 50 frascos ámpula con  liofilizado y 50ampolletas  con 1 ml de diluyente",NULL,NULL,NULL
010.000.0260.02,ME,1689,1,0,1,"LIDOCAÍNA Gel 20 mg/ml Envase con 30 ml",NULL,NULL,NULL
010.000.0261.00,ME,1689,1,0,1,"LIDOCAÍNA Solución  inyectable  al 1 % 500 mg/50 ml 5 frascos ámpula con 50 ml",NULL,NULL,NULL
010.000.0262.00,ME,1689,1,0,1,"LIDOCAÍNA Solución  inyectable  al 2 % 1 g/50 ml 5 frascos ámpula con 50 ml",NULL,NULL,NULL
010.000.0263.00,ME,1689,1,0,1,"LIDOCAÍNA Solución inyectable al 5 % 100 mg/2 ml 50 ampolletas con 2 ml",NULL,NULL,NULL
010.000.0264.00,ME,1689,1,0,1,"LIDOCAÍNA Solución al  10 % 10 g/100 ml 115 ml con atomizador manual",NULL,NULL,NULL
010.000.0265.00,ME,1689,1,0,1,"LIDOCAÍNA,  EPINEFRINA Solución  inyectable  al 2% Lidocaína 1 g  Epinefrina 0.25 mg 5 frascos ámpula con 50 ml",NULL,NULL,NULL
010.000.0267.00,ME,1689,1,0,1,"LIDOCAÍNA, EPINEFRINA Solución inyectable al 2% Lidocaína 36 mg Epinefrina 0.018 mg 50 cartuchos dentales con 1.8 ml",NULL,NULL,NULL
010.000.0269.00,ME,1689,1,0,1,"ROPIVACAÍNA Solución  inyectable 40 mg/20 ml 5 ampolletas con 20 ml",NULL,NULL,NULL
010.000.0271.00,ME,1689,1,0,1,"BUPIVACAÍNA Solución  inyectable 5 mg/ml Envase con 30 ml",NULL,NULL,NULL
010.000.0291.00,ME,1689,1,0,1,"NEOSTIGMINA Solución  inyectable 0.5 mg/ ml 6 ampolletas con 1 ml",NULL,NULL,NULL
010.000.0402.00,ME,1689,1,0,1,"CLORFENAMINA Tableta 4 mg 20 Tabletas",NULL,NULL,NULL
010.000.0405.00,ME,1689,1,0,1,"DIFENHIDRAMINA Jarabe 12.5 mg/5 ml Envase con 60 ml",NULL,NULL,NULL
010.000.0406.00,ME,1689,1,0,1,"DIFENHIDRAMINA Solución inyectable 100 mg/10 ml Frasco ámpula con 10 ml",NULL,NULL,NULL
010.000.0408.00,ME,1689,1,0,1,"CLORFENAMINA Jarabe 0.5 mg / ml Envase con 60 ml",NULL,NULL,NULL
010.000.0426.00,ME,1689,1,0,1,"AMINOFILINA Solución  inyectable 250 mg/ 10 ml 5 ampolletas de  10 ml",NULL,NULL,NULL
010.000.0429.00,ME,1689,1,0,1,"SALBUTAMOL Suspensión en aerosol 20 mg Envase con inhalador con 200 dosis de100 microgramo",NULL,NULL,NULL
010.000.0431.00,ME,1689,1,0,1,"SALBUTAMOL Jarabe 2 mg/ 5 ml Envase con 60 ml",NULL,NULL,NULL
010.000.0432.00,ME,1689,1,0,1,"TERBUTALINA Solución inyectable 0.25 mg/ml 3 ampolletas",NULL,NULL,NULL
010.000.0433.00,ME,1689,1,0,1,"TERBUTALINA Tableta 5 mg 20 tabletas",NULL,NULL,NULL
010.000.0437.00,ME,1689,1,0,1,"TEOFILINA Comprimido ó  tableta o cápsula  de liberación  prolongada 100 mg. 20 Comprimidos ó  tabletas ó cápsulas  de liberación prolongada",NULL,NULL,NULL
010.000.0438.00,ME,1689,1,0,1,"TERBUTALINA Polvo 0.5 mg/dosis Envase con inhalador para 200 dosis",NULL,NULL,NULL
010.000.0439.00,ME,1689,1,0,1,"SALBUTAMOL Solución para  nebulizador 0.5 g/ 100 ml Envase con 10 ml",NULL,NULL,NULL
010.000.0443.00,ME,1689,1,0,1,"SALMETEROL, FLUTICASONA Suspensión en  aerosol 0.33 mg / 0.67  mg/g Envase con 120 dosis  y dispositivo inhalador",NULL,NULL,NULL
010.000.0463.00,ME,1689,0,0,1,"KETOTIFENO SOLUCIÓN ORAL 20 MG / 100 ML                                                                                                                                                                                                                        ",NULL,NULL,NULL
010.000.0464.00,ME,1689,1,0,1,"CROMOGLICATO DE SODIO Suspensión aerosol 3.6 g/100 g Envase con 16 g para 112 inhalaciones",NULL,NULL,NULL
010.000.0472.00,ME,1689,1,0,1,"PREDNISONA Tableta 5 mg 20 tabletas",NULL,NULL,NULL
010.000.0473.00,ME,1689,1,0,1,"PREDNISONA Tableta 50 mg 20 tabletas",NULL,NULL,NULL
010.000.0474.00,ME,1689,1,0,1,"HIDROCORTISONA Solución inyectable 100 mg/2 ml 50 Frascos ámpula  y 50 ampolletas  con2 ml de diluyente",NULL,NULL,NULL
010.000.0476.00,ME,1689,1,0,1,"METILPREDNISOLONA Solución  inyectable 500 mg/ 8 ml 50 frascos ámpula y  50 ampolletas con  8 ml de diluyente",NULL,NULL,NULL
010.000.0477.00,ME,1689,1,0,1,"BECLOMETASONA,  DIPROPIONATO DE Suspensión en aerosol 10 mg/inhalador Envase con inhalador con 200 dosis de50  microgramo",NULL,NULL,NULL
010.000.0502.00,ME,1689,1,0,1,"DIGOXINA Tableta 0.25 mg 20 tabletas",NULL,NULL,NULL
010.000.0503.00,ME,1689,1,0,1,"DIGOXINA Elíxir 0.05 mg/ml Envase con 60 ml",NULL,NULL,NULL
010.000.0504.00,ME,1689,1,0,1,"DIGOXINA Solución  inyectable 0.5 mg/2 ml 6 ampolletas de 2 ml",NULL,NULL,NULL
010.000.0514.00,ME,1689,1,0,1,"PARACETAMOL Supositorio 100 mg 3 supositorios",NULL,NULL,NULL
010.000.0514.01,ME,1689,1,0,1,"PARACETAMOL Supositorio 100 mg 6 supositorios",NULL,NULL,NULL
010.000.0514.02,ME,1689,1,0,1,"PARACETAMOL Supositorio 100 mg 10 supositorios",NULL,NULL,NULL
010.000.0522.00,ME,1689,1,0,1,"LIDOCAÍNA Solución inyectable 100 mg/5 ml Ampolleta con 5 ml",NULL,NULL,NULL
010.000.0524.00,ME,1689,1,0,1,"CLORURO DE POTASIO Solución  inyectable 1.49 g/ 10 ml 50 ampolletas con 10 ml",NULL,NULL,NULL
010.000.0525.00,ME,1689,1,0,1,"FENITOÍNA Tableta o  cápsula 100 mg 50 tabletas o cápsulas",NULL,NULL,NULL
010.000.0530.00,ME,1689,1,0,1,"PROPRANOLOL Tableta 40 mg 30 tabletas",NULL,NULL,NULL
010.000.0539.00,ME,1689,1,0,1,"PROPRANOLOL Tableta 10 mg 30 tabletas",NULL,NULL,NULL
010.000.0561.00,ME,1689,1,0,1,"CLORTALIDONA Tableta 50 mg 20 tabletas",NULL,NULL,NULL
010.000.0566.00,ME,1689,1,0,1,"METILDOPA Tableta 250 mg 30 tabletas",NULL,NULL,NULL
010.000.0569.00,ME,1689,1,0,1,"NITROPRUSIATO  DE SODIO Solución  inyectable 50 mg Frasco ámpula",NULL,NULL,NULL
010.000.0570.00,ME,1689,1,0,1,"HIDRALAZINA Tableta 10 mg 20 tabletas",NULL,NULL,NULL
010.000.0572.00,ME,1689,1,0,1,"METOPROLOL Tableta 100 mg 20 tabletas",NULL,NULL,NULL
010.000.0573.00,ME,1689,0,0,1,"PRAZOSINA. CAPSULAS. CADA CAPSULA CONTIENE: CLORHIDRATO DE PRAZOSINA EQUIVALENTE A 1 MG DE PRAZOSINA. ENVASE CON 30 TABLETAS.",NULL,NULL,NULL
010.000.0574.00,ME,1689,1,0,1,"CAPTOPRIL Tableta 25 mg 30 tabletas",NULL,NULL,NULL
010.000.0591.00,ME,1689,1,0,1,"TRINITRATO DE GLICERILO Cápsula o tableta masticable 0.8 mg 24 cápsulas o tabletas",NULL,NULL,NULL
010.000.0592.00,ME,1689,1,0,1,"ISOSORBIDA Tableta  sublingual 5 mg 20 tabletas sublinguales",NULL,NULL,NULL
