clave,tipo,generico_id,es_causes,es_unidosis,tiene_fecha_caducidad,descontinuado,descripcion,created_at,updated_at,deleted_at
010.000.0071.00,ME,1689,0,0,1,0,"BENZATINA BENCILPENICILINA DE 600 000 UI, SUSPENSIÓN INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0101.00,ME,1689,1,1,1,0,"ÁCIDO ACETILSALICÍLICO Tableta 500 mg 20 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0103.00,ME,1689,1,1,1,0,"ÁCIDO ACETILSALICÍLICO Tableta soluble o efervescente 300 mg 20 tabletas solubles o efervescentes","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0104.00,ME,1689,1,1,1,0,"PARACETAMOL Tableta 500 mg 10 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0105.00,ME,1689,1,1,1,0,"PARACETAMOL Supositorio 300 mg 3 supositorios","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0106.00,ME,1689,1,0,1,0,"PARACETAMOL Solución oral 100 mg/ml Envase con gotero 15 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0108.00,ME,1689,1,1,1,0,"METAMIZOL SÓDICO Comprimido 500 mg 10 comprimidos","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0109.00,ME,1689,1,1,1,0,"METAMIZOL SÓDICO Solución inyectable 1 g/ 2 ml 3 ampolletas con 2 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0204.00,ME,1689,1,1,1,0,"ATROPINA Solución inyectable 1 mg/ml 50 ampolletas con 1 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0233.00,ME,1689,1,0,1,0,"SEVOFLURANO Líquido o solución 250 ml Envase con 250 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0234.00,ME,1689,1,0,1,0,"DESFLURANO Líquido 240 ml. Envase con 240 ml.","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0246.00,ME,1689,1,1,1,0,"PROPOFOL Emulsión inyectable 200 mg/20 ml 5 ampolletas o frascos ámpula de 20 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0247.00,ME,1689,1,0,1,0,"DEXMEDETOMIDINA Solución inyectable 200 microgramo 1 frasco ámpula","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0252.00,ME,1689,1,1,1,0,"CLORURO DE SUXAMETONIO SOLUCIÓN INYECTABLE 40MG / 2ML. CAJA CON 5 AMPOLLETAS DE 2 ML","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0252.00-DUP,ME,1689,1,0,1,0,"SUXAMETONIO, CLORURO DE Solución inyectable 40 mg/2 ml 5 ampolletas con 2 ml","2018-02-01 11:48:55","2018-02-01 11:48:55","2017-05-29 13:41:52"
010.000.0254.00,ME,1689,1,1,1,0,"VECURONIO Solución inyectable 4 mg/1 ml 50 frascos ámpula con liofilizado y 50ampolletas con 1 ml de diluyente","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0260.02,ME,1689,1,0,1,0,"LIDOCAÍNA Gel 20 mg/ml Envase con 30 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0261.00,ME,1689,1,1,1,0,"LIDOCAÍNA Solución inyectable al 1 % 500 mg/50 ml 5 frascos ámpula con 50 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0262.00,ME,1689,1,1,1,0,"LIDOCAÍNA Solución inyectable al 2 % 1 g/50 ml 5 frascos ámpula con 50 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0263.00,ME,1689,1,1,1,0,"LIDOCAÍNA Solución inyectable al 5 % 100 mg/2 ml 50 ampolletas con 2 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0264.00,ME,1689,1,0,1,0,"LIDOCAÍNA Solución al 10 % 10 g/100 ml 115 ml con atomizador manual","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0265.00,ME,1689,1,1,1,0,"LIDOCAÍNA, EPINEFRINA Solución inyectable al 2% Lidocaína 1 g Epinefrina 0.25 mg 5 frascos ámpula con 50 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0267.00,ME,1689,1,1,1,0,"LIDOCAÍNA, EPINEFRINA Solución inyectable al 2% Lidocaína 36 mg Epinefrina 0.018 mg 50 cartuchos dentales con 1.8 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0269.00,ME,1689,1,1,1,0,"ROPIVACAÍNA Solución inyectable 40 mg/20 ml 5 ampolletas con 20 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0271.00,ME,1689,1,0,1,0,"BUPIVACAÍNA Solución inyectable 5 mg/ml Envase con 30 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0291.00,ME,1689,1,1,1,0,"NEOSTIGMINA Solución inyectable 0.5 mg/ ml 6 ampolletas con 1 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0402.00,ME,1689,1,1,1,0,"CLORFENAMINA Tableta 4 mg 20 Tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0405.00,ME,1689,1,0,1,0,"DIFENHIDRAMINA Jarabe 12.5 mg/5 ml Envase con 60 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0406.00,ME,1689,1,0,1,0,"DIFENHIDRAMINA Solución inyectable 100 mg/10 ml Frasco ámpula con 10 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0408.00,ME,1689,1,0,1,0,"CLORFENAMINA Jarabe 0.5 mg / ml Envase con 60 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0426.00,ME,1689,1,1,1,0,"AMINOFILINA Solución inyectable 250 mg/ 10 ml 5 ampolletas de 10 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0429.00,ME,1689,1,0,1,0,"SALBUTAMOL Suspensión en aerosol 20 mg Envase con inhalador con 200 dosis de100 microgramo","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0431.00,ME,1689,1,0,1,0,"SALBUTAMOL Jarabe 2 mg/ 5 ml Envase con 60 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0432.00,ME,1689,1,1,1,0,"TERBUTALINA Solución inyectable 0.25 mg/ml 3 ampolletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0433.00,ME,1689,1,1,1,0,"TERBUTALINA Tableta 5 mg 20 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0437.00,ME,1689,1,1,1,0,"TEOFILINA Comprimido ó tableta o cápsula de liberación prolongada 100 mg. 20 Comprimidos ó tabletas ó cápsulas de liberación prolongada","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0438.00,ME,1689,1,0,1,0,"TERBUTALINA Polvo 0.5 mg/dosis Envase con inhalador para 200 dosis","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0439.00,ME,1689,1,0,1,0,"SALBUTAMOL Solución para nebulizador 0.5 g/ 100 ml Envase con 10 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0443.00,ME,1689,1,0,1,0,"SALMETEROL, FLUTICASONA Suspensión en aerosol 0.33 mg / 0.67 mg/g Envase con 120 dosis y dispositivo inhalador","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0463.00,ME,1689,0,0,1,0,"KETOTIFENO SOLUCIÓN ORAL 20 MG / 100 ML                                                                                                            ","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0464.00,ME,1689,1,0,1,0,"CROMOGLICATO DE SODIO Suspensión aerosol 3.6 g/100 g Envase con 16 g para 112 inhalaciones","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0472.00,ME,1689,1,1,1,0,"PREDNISONA Tableta 5 mg 20 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0473.00,ME,1689,1,1,1,0,"PREDNISONA Tableta 50 mg 20 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0474.00,ME,1689,1,1,1,0,"HIDROCORTISONA Solución inyectable 100 mg/2 ml 50 Frascos ámpula y 50 ampolletas con2 ml de diluyente","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0476.00,ME,1689,1,1,1,0,"METILPREDNISOLONA Solución inyectable 500 mg/ 8 ml 50 frascos ámpula y 50 ampolletas con 8 ml de diluyente","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0477.00,ME,1689,1,0,1,0,"BECLOMETASONA, DIPROPIONATO DE Suspensión en aerosol 10 mg/inhalador Envase con inhalador con 200 dosis de50 microgramo","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0502.00,ME,1689,1,1,1,0,"DIGOXINA Tableta 0.25 mg 20 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0503.00,ME,1689,1,0,1,0,"DIGOXINA Elíxir 0.05 mg/ml Envase con 60 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0504.00,ME,1689,1,1,1,0,"DIGOXINA Solución inyectable 0.5 mg/2 ml 6 ampolletas de 2 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0514.00,ME,1689,1,1,1,0,"PARACETAMOL Supositorio 100 mg 3 supositorios","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0514.01,ME,1689,1,1,1,0,"PARACETAMOL Supositorio 100 mg 6 supositorios","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0514.02,ME,1689,1,1,1,0,"PARACETAMOL Supositorio 100 mg 10 supositorios","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0522.00,ME,1689,1,0,1,0,"LIDOCAÍNA Solución inyectable 100 mg/5 ml Ampolleta con 5 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0524.00,ME,1689,1,1,1,0,"CLORURO DE POTASIO Solución inyectable 1.49 g/ 10 ml 50 ampolletas con 10 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0525.00,ME,1689,1,1,1,0,"FENITOÍNA Tableta o cápsula 100 mg 50 tabletas o cápsulas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0530.00,ME,1689,1,1,1,0,"PROPRANOLOL Tableta 40 mg 30 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0539.00,ME,1689,1,1,1,0,"PROPRANOLOL Tableta 10 mg 30 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0561.00,ME,1689,1,1,1,0,"CLORTALIDONA Tableta 50 mg 20 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0566.00,ME,1689,1,1,1,0,"METILDOPA Tableta 250 mg 30 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0569.00,ME,1689,1,0,1,0,"NITROPRUSIATO DE SODIO Solución inyectable 50 mg Frasco ámpula","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0570.00,ME,1689,1,1,1,0,"HIDRALAZINA Tableta 10 mg 20 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0572.00,ME,1689,1,1,1,0,"METOPROLOL Tableta 100 mg 20 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0573.00,ME,1689,0,1,1,0,"PRAZOSINA. CAPSULAS. CADA CAPSULA CONTIENE: CLORHIDRATO DE PRAZOSINA EQUIVALENTE A 1 MG DE PRAZOSINA. ENVASE CON 30 TABLETAS.","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0574.00,ME,1689,1,1,1,0,"CAPTOPRIL Tableta 25 mg 30 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0591.00,ME,1689,1,1,1,0,"TRINITRATO DE GLICERILO Cápsula o tableta masticable 0.8 mg 24 cápsulas o tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0592.00,ME,1689,1,1,1,0,"ISOSORBIDA Tableta sublingual 5 mg 20 tabletas sublinguales","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0593.00,ME,1689,1,1,1,0,"ISOSORBIDA Tableta 10 mg 20 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0596.00,ME,1689,1,1,1,0,"VERAPAMILO Gragea o tableta recubierta 80 mg 20 grageas o tabletas recubiertas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0597.00,ME,1689,1,1,1,0,"NIFEDIPINO Cápsula de gelatina blanda 10 mg 20 cápsulas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0598.00,ME,1689,1,0,1,0,"VERAPAMILO Solución inyectable 5 mg/2 ml Ampolleta con 2 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0599.00,ME,1689,1,1,1,0,"NIFEDIPINO Comprimido de liberación prolongada 30 mg 30 comprimidos","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0611.00,ME,1689,1,1,1,0,"EPINEFRINA Solución inyectable 1 mg (1:1 000) 50 ampolletas de 1.0 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0612.00,ME,1689,0,1,1,0,"NOREPINEFRINA. SOLUCION INYECTABLE. CADA AMPOLLETA CONTIENE: BITARTRATO DE NOREPINEFRINA EQUIVALENTE A 4 MG DE NOREPINEFRINA. ENVASE CON 50 AMPOLLETAS DE 4ML.","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0614.00,ME,1689,1,1,1,0,"DOPAMINA Solución inyectable 200 mg/ 5 ml 5 ampolletas con 5 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0615.00,ME,1689,1,1,1,0,"DOBUTAMINA Solución inyectable 250 mg 5 ampolletas con 5 ml cada una o un frasco ámpula con 20 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0621.00,ME,1689,1,1,1,0,"HEPARINA Solución inyectable 10 000 UI/ 10 ml (1000 UI/ ml) 50 frascos ámpula con 10 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0622.00,ME,1689,1,1,1,0,"HEPARINA Solución inyectable 25 000 UI/ 5 ml (5000 UI/ ml) 50 frascos ámpula con 5 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0623.00,ME,1689,1,1,1,0,"WARFARINA Tableta 5 mg 25 Tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0624.00,ME,1689,1,1,1,0,"ACENOCUMAROL Tableta 4 mg 20 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0624.01,ME,1689,1,1,1,0,"ACENOCUMAROL Tableta 4 mg 30 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0641.00,ME,1689,1,0,1,0,"DEXTRÁN Solución inyectable al 10% Dextrán (40 000) 10 g/100 ml glucosa 5 g/100 ml 500 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0655.00,ME,1689,1,1,1,0,"BEZAFIBRATO Tableta 200 mg 30 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0657.00,ME,1689,1,1,1,0,"PRAVASTATINA Tableta 10 mg 30 tabletas","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0801.00,ME,1689,1,0,1,0,"BAÑO COLOIDE Polvo Harina de soya 965 mg/g Polividona 20 mg/g Un sobre con 90 g","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0801.01,ME,1689,1,1,1,0,"BAÑO COLOIDE Polvo Harina de soya 965 mg/g Polividona 20 mg/g Dos sobres con 90 g","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0804.00,ME,1689,1,0,1,0,"ÓXIDO DE ZINC Pasta 25 g/100 g Envase con 30 g","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0811.00,ME,1689,0,0,1,0,"FLUOCINOLONA ACETONIDO DE CREMA 0.1 MG/G","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0813.00,ME,1689,1,0,1,0,"HIDROCORTISONA Crema 1 mg/g Envase con 15 g","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0822.00,ME,1689,1,0,1,0,"BENZOILO Loción dérmica o gel dérmico 5 g/100 ml o 5 g/ 100 g Envase con 30 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0822.01,ME,1689,1,0,1,0,"BENZOILO Loción dérmica o gel dérmico 5 g/100 ml o 5 g/ 100 g Envase con 50 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0822.02,ME,1689,1,0,1,0,"BENZOILO Loción dérmica o gel dérmico 5 g/100 ml o 5 g/ 100 g Envase con 60 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0831.00,ME,1689,1,0,1,0,"ALANTOÍNA Y ALQUITRÁN DE HULLA Suspensión dérmica 20 mg/ml y 9.4 mg/ ml Envase con 120 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
010.000.0861.00,ME,1689,1,0,1,0,"BENCILO Emulsión dérmica 300 mg/ml Envase con 120 ml","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
