id,insumo_medico_clave,forma_farmaceutica_id,presentacion_id,es_controlado,es_surfactante,concentracion,contenido,cantidad_x_envase,unidad_medida_id,indicaciones,via_administracion_id,dosis,created_at,updated_at,deleted_at
1,010.000.0624.00,NULL,102,0,0,"4 mg","Caja con 20 tabletas",20.00,71,Anticoagulante.,39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
2,010.000.0624.01,NULL,102,0,0,"4 mg","Caja con 30 tabletas",30.00,71,Anticoagulante.,39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
3,010.000.2303.00,NULL,102,0,0,"500 mg","Caja con frasco ampula con 5 ml",1.00,53,"Edema por Insuficiencia cardiaca. Convulsiones mioclónicas. Glaucoma.",NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
4,010.000.2302.00,NULL,102,0,0,"250 mg","Caja con 20 tabletas",20.00,71,"Edema por Insuficiencia cardiaca. Convulsiones mioclónicas. Glaucoma.",NULL,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
5,010.000.4263.00,NULL,102,0,0,"200 mg","Envase con 25 comprimidos o tabletas.",25.00,71,"Herpes simple y genital. Varicela Zoster.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
6,010.000.2126.00,NULL,102,0,0,"400 mg","Caja con 35 comprimidos o tabletas.",35.00,71,"Herpes simple y genital. Varicela Zoster.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
7,010.000.4264.00,NULL,102,0,0,"250 mg","Envase con 5 frascos ámpula.",5.00,53,"Herpes simple y genital. Varicela Zoster.",27,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
8,010.000.2830.00,NULL,102,0,0,"3 g","Envase con 4.5 g",1.00,73,"Queratitis por herpes simple.",38,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
9,010.000.0101.00,NULL,102,0,0,"500 mg","Caja con 20 tabletas",20.00,71,"Artritis reumatoide. Osteoartritis. Espondilitis anquilosante. Fiebre reumática aguda. Dolor o fiebre.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
10,010.000.0103.00,NULL,102,0,0,"300 mg","Caja con 20 tabletas solubles o efervescentes",20.00,71,"Artritis reumatoide. Osteoartritis. Espondilitis anquilosante. Fiebre reumática aguda. Dolor o fiebre.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
11,010.000.4164.00,NULL,102,0,0,"70 mg","Envase con 4 tabletas o comprimidos",4.00,71,"Prevención y tratamiento de la osteoporosis de hombres y mujeres.",39,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
