id,clave,nombre,jurisdiccion_id,created_at,updated_at,deleted_at
1,1,ACACOYAGUA,7,NULL,NULL,NULL
2,2,ACALA,1,NULL,NULL,NULL
3,3,ACAPETAHUA,7,NULL,NULL,NULL
4,4,ALTAMIRANO,9,NULL,NULL,NULL
5,5,AMATÁN,5,NULL,NULL,NULL
6,6,AMATENANGO DE LA FRONTERA,10,NULL,NULL,NULL
7,7,AMATENANGO DEL VALLE,2,NULL,NULL,NULL
8,8,ANGEL ALBINO CORZO,4,NULL,NULL,NULL
9,9,ARRIAGA,8,NULL,NULL,NULL
10,10,BEJUCAL DE OCAMPO,10,NULL,NULL,NULL
11,11,BELLA VISTA,10,NULL,NULL,NULL
12,12,BERRIOZÁBAL,1,NULL,NULL,NULL
13,13,BOCHIL,5,NULL,NULL,NULL
14,14,EL BOSQUE,5,NULL,NULL,NULL
15,15,CACAHOATÁN,7,NULL,NULL,NULL
16,16,CATAZAJÁ,6,NULL,NULL,NULL
17,17,CINTALAPA,1,NULL,NULL,NULL
18,18,COAPILLA,1,NULL,NULL,NULL
19,19,COMITÁN DE DOMÍNGUEZ,3,NULL,NULL,NULL
20,20,LA CONCORDIA,4,NULL,NULL,NULL
21,21,COPAINALÁ,1,NULL,NULL,NULL
22,22,CHALCHIHUITÁN,2,NULL,NULL,NULL
23,23,CHAMULA,2,NULL,NULL,NULL
24,24,CHANAL,2,NULL,NULL,NULL
25,25,CHAPULTENANGO,5,NULL,NULL,NULL
26,26,CHENALHÓ,2,NULL,NULL,NULL
27,27,CHIAPA DE CORZO,1,NULL,NULL,NULL
28,28,CHIAPILLA,1,NULL,NULL,NULL
29,29,CHICOASÉN,1,NULL,NULL,NULL
30,30,CHICOMUSELO,3,NULL,NULL,NULL
31,31,CHILÓN,9,NULL,NULL,NULL
32,32,ESCUINTLA,7,NULL,NULL,NULL
33,33,FRANCISCO LEÓN,1,NULL,NULL,NULL
34,34,FRONTERA COMALAPA,3,NULL,NULL,NULL
35,35,FRONTERA HIDALGO,7,NULL,NULL,NULL
36,36,LA GRANDEZA,10,NULL,NULL,NULL
37,37,HUEHUETÁN,7,NULL,NULL,NULL
38,38,HUIXTÁN,2,NULL,NULL,NULL
39,39,HUITIUPÁN,5,NULL,NULL,NULL
40,40,HUIXTLA,7,NULL,NULL,NULL
41,41,LA INDEPENDENCIA,3,NULL,NULL,NULL
42,42,IXHUATÁN,5,NULL,NULL,NULL
43,43,IXTACOMITÁN,5,NULL,NULL,NULL
44,44,IXTAPA,1,NULL,NULL,NULL
45,45,IXTAPANGAJOYA,5,NULL,NULL,NULL
46,46,JIQUIPILAS,1,NULL,NULL,NULL
47,47,JITOTOL,5,NULL,NULL,NULL
48,48,JUÁREZ,5,NULL,NULL,NULL
49,49,LARRÁINZAR,2,NULL,NULL,NULL
50,50,LA LIBERTAD,6,NULL,NULL,NULL
51,51,MAPASTEPEC,7,NULL,NULL,NULL
52,52,LAS MARGARITAS,3,NULL,NULL,NULL
53,53,MAZAPA DE MADERO,10,NULL,NULL,NULL
54,54,MAZATÁN,7,NULL,NULL,NULL
55,55,METAPA,7,NULL,NULL,NULL
56,56,MITONTIC,2,NULL,NULL,NULL
57,57,MOTOZINTLA,10,NULL,NULL,NULL
58,58,NICOLÁS RUÍZ,1,NULL,NULL,NULL
59,59,OCOSINGO,9,NULL,NULL,NULL
