id,precio_base_id,insumo_medico_clave,es_causes,precio,usuario_id,created_at,updated_at,deleted_at
1,1,010.000.0071.00,0,203.34,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
2,1,010.000.0101.00,1,6.84,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
3,1,010.000.0103.00,1,3.63,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
4,1,010.000.0104.00,1,3.02,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
5,1,010.000.0105.00,1,3.82,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
6,1,010.000.0106.00,1,3.68,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
7,1,010.000.0108.00,1,3.46,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
8,1,010.000.0109.00,1,6.54,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
9,1,010.000.0204.00,1,104.61,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
10,1,010.000.0233.00,1,854.66,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
11,1,010.000.0234.00,1,1633.5,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
12,1,010.000.0246.00,1,663.03,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
13,1,010.000.0247.00,1,903.83,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
14,1,010.000.0252.00,1,210.27,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
15,1,010.000.0254.00,1,796.63,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
16,1,010.000.0260.02,1,71.99,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
17,1,010.000.0261.00,1,81.74,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
18,1,010.000.0262.00,1,87.19,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
19,1,010.000.0263.00,1,226.1,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
20,1,010.000.0264.00,1,91.77,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
21,1,010.000.0265.00,1,104.82,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
22,1,010.000.0267.00,1,80.1,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
23,1,010.000.0269.00,1,313.1,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
24,1,010.000.0271.00,1,46.59,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
25,1,010.000.0291.00,1,89.5,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
26,1,010.000.0402.00,1,5.47,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
27,1,010.000.0405.00,1,3.9,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
28,1,010.000.0406.00,1,30.96,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
29,1,010.000.0408.00,1,3.71,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
30,1,010.000.0426.00,1,19.46,root,2018-04-02 12:06:59,2018-04-02 12:06:59,NULL
31,1,010.000.0429.00,1,16.99,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
32,1,010.000.0431.00,1,4.05,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
33,1,010.000.0432.00,1,20.89,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
34,1,010.000.0433.00,1,21.18,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
35,1,010.000.0437.00,1,26.94,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
36,1,010.000.0438.00,1,165.32,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
37,1,010.000.0439.00,1,29.68,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
38,1,010.000.0443.00,1,112.44,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
39,1,010.000.0463.00,0,9.96,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
40,1,010.000.0464.00,1,108.01,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
41,1,010.000.0472.00,1,6.14,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
42,1,010.000.0473.00,1,25.32,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
43,1,010.000.0474.00,1,576.87,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
44,1,010.000.0476.00,1,3325.14,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
45,1,010.000.0477.00,1,40.04,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
46,1,010.000.0502.00,1,9.99,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
47,1,010.000.0503.00,1,141.95,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
48,1,010.000.0504.00,1,63.12,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
49,1,010.000.0514.00,1,35.35,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
50,1,010.000.0514.01,1,13.62,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
51,1,010.000.0514.02,1,26.12,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
52,1,010.000.0522.00,1,105.71,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
53,1,010.000.0524.00,1,86.15,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
54,1,010.000.0525.00,1,8.98,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
55,1,010.000.0530.00,1,6.49,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
56,1,010.000.0539.00,1,17,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
57,1,010.000.0561.00,1,6.8,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
58,1,010.000.0566.00,1,16.48,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
59,1,010.000.0569.00,1,5993.42,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
60,1,010.000.0570.00,1,8.07,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
61,1,010.000.0572.00,1,5.75,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
62,1,010.000.0573.00,0,14.66,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
63,1,010.000.0574.00,1,2.73,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
64,1,010.000.0591.00,1,127.93,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
65,1,010.000.0592.00,1,21.07,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
66,1,010.000.0593.00,1,4.42,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
67,1,010.000.0596.00,1,7.85,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
68,1,010.000.0597.00,1,9.88,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
69,1,010.000.0598.00,1,15.67,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
70,1,010.000.0599.00,1,20.03,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
71,1,010.000.0611.00,1,220.28,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
72,1,010.000.0612.00,0,3371.2,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
73,1,010.000.0614.00,1,26.17,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
74,1,010.000.0615.00,1,25.64,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
75,1,010.000.0621.00,1,950.66,root,2018-04-02 12:07:00,2018-04-02 12:07:00,NULL
