id,nombre,created_at,updated_at,deleted_at
1,CAPSULA,NULL,NULL,NULL
2,"CAPSULA O COMPRIMIDO",NULL,NULL,NULL
3,"CAPSULA O GRAGEA",NULL,NULL,NULL
4,"CAPSULA O TABLETA",NULL,NULL,NULL
5,"CARBON ACTIVADO",NULL,NULL,NULL
6,COMPRIMIDO,NULL,NULL,NULL
7,"COMPRIMIDO O TABLETA",NULL,NULL,NULL
8,CREMA,NULL,NULL,NULL
9,EFERVESCENTE,NULL,NULL,NULL
10,ELIXIR,NULL,NULL,NULL
11,"EMULSIÓN DÉRMICA",NULL,NULL,NULL
12,"EMULSION INYECTABLE",NULL,NULL,NULL
13,GEL,NULL,NULL,NULL
14,"GENTAMICINA ",NULL,NULL,NULL
15,GOTAS,NULL,NULL,NULL
16,GRAGEA,NULL,NULL,NULL
17,"GRAGEA O COMPRIMIDO",NULL,NULL,NULL
18,"GRAGEA O TABLETA",NULL,NULL,NULL
19,GRANULADO,NULL,NULL,NULL
20,IMPLANTE,NULL,NULL,NULL
21,JARABE,NULL,NULL,NULL
22,LIQUIDO,NULL,NULL,NULL
23,"LIQUIDO O SOLUCION",NULL,NULL,NULL
24,"LOCIÓN DÉRMICA O GEL",NULL,NULL,NULL
25,ÓVULO,NULL,NULL,NULL
26,"ÓVULO O TABLETA",NULL,NULL,NULL
27,PARCHE,NULL,NULL,NULL
28,PASTA,NULL,NULL,NULL
29,PERLA,NULL,NULL,NULL
30,POLVO,NULL,NULL,NULL
31,"POMADA O SOLUCIÓN",NULL,NULL,NULL
32,SOLUCION,NULL,NULL,NULL
33,"SOLUCION INYECTABLE",NULL,NULL,NULL
34,"SOLUCIÓN O EMULSIÓN INYECTABLE",NULL,NULL,NULL
35,"SOLUCIÓN OFTÁLMICA",NULL,NULL,NULL
36,"SOLUCIÓN ORAL",NULL,NULL,NULL
37,"SOLUCIÓN ÓTICA",NULL,NULL,NULL
38,"SOLUCIÓN PARA INHALACIÓN",NULL,NULL,NULL
39,"SOLUCIÓN PARA NEBULIZADOR",NULL,NULL,NULL
40,SUPOSITORIO,NULL,NULL,NULL
41,SUSPENSIÓN,NULL,NULL,NULL
42,"SUSPENSIÓN AEROSOL",NULL,NULL,NULL
43,"SUSPENSIÓN DÉRMICA",NULL,NULL,NULL
44,"SUSPENSION INYECTABLE",NULL,NULL,NULL
45,"SUSPENSIÓN OFTÁLMICA",NULL,NULL,NULL
46,"SUSPENSIÓN PARA INHALACIÓN",NULL,NULL,NULL
47,TABLETA,NULL,NULL,NULL
48,"TABLETA O GRAGEA O CÁPSULA",NULL,NULL,NULL
49,"TABLETA SUBLINGUAL",NULL,NULL,NULL
50,UNGÜENTO,NULL,NULL,NULL
51,ATOMIZADOR,NULL,NULL,NULL
52,BOLSA,NULL,NULL,NULL
53,"CARTUCHO DENTAL",NULL,NULL,NULL
