id,nombre,created_at,updated_at,deleted_at
1,CÁPSULA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
2,"CÁPSULA CON GRÁNULOS CON CAPA ENTÉRICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
3,"CÁPSULA CON POLVO PARA INHALACIÓN","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
4,"CÁPSULA DE GELATINA BLANDA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
5,"CÁPSULA DE LIBERACIÓN RETARDADA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
6,"CÁPSULA O COMPRIMIDO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
7,"CÁPSULA O COMPRIMIDO O TABLETA RECUBIERTA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
8,"CÁPSULA O GRAGEA DE LIBERACIÓN PROLONGADA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
9,"CÁPSULA O TABLETA DE LIBERACIÓN PROLONGADA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
10,"CÁPSULA O TABLETA MASTICABLE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
11,COMPRIMIDO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
12,"COMPRIMIDO DE LIBERACIÓN PROLONGADA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
13,"COMPRIMIDO EFERVESCENTE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
14,"COMPRIMIDO MASTICABLE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
15,"COMPRIMIDO O GRAGEA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
16,"COMPRIMIDO O TABLETA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
17,"COMPRIMIDO O TABLETA O CÁPSULA DE LIBERACIÓN PROLONGADA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
18,"COMPRIMIDO RECUBIERTO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
19,"COMPRIMIDO O TABLETA O GRAGEA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
20,CREMA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
21,"CREMA AL 5%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
22,"CREMA O UNGÜENTO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
23,ELÍXIR,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
24,"EMULSIÓN DÉRMICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
25,"EMULSIÓN INYECTABLE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
26,GEL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
27,GRAGEA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
28,"GRAGEA O COMPRIMIDO RECUBIERTO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
29,"GRAGEA O TABLETA RECUBIERTA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
30,GRANULADO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
31,IMPLANTE,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
32,JABÓN,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
33,JARABE,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
34,LÍQUIDO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
35,"LÍQUIDO O SOLUCIÓN","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
36,LOCIÓN,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
37,"LOCIÓN DÉRMICA O GEL DÉRMICO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
38,ÓVULO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
39,"ÓVULO O TABLETA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
40,PARCHE,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
41,PASTA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
42,POLVO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
43,"POMADA O SOLUCIÓN OFTÁLMICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
44,SOLUCIÓN,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
45,"SOLUCIÓN AL 10%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
46,"SOLUCIÓN DÉRMICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
47,"SOLUCIÓN INYECTABLE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
48,"SOLUCIÓN INYECTABLE AL 0.9%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
49,"SOLUCIÓN INYECTABLE AL 1% ","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
50,"SOLUCIÓN INYECTABLE AL 10%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
51,"SOLUCIÓN INYECTABLE AL 17.7%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
52,"SOLUCIÓN INYECTABLE AL 2%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
53,"SOLUCIÓN INYECTABLE AL 20%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
54,"SOLUCIÓN INYECTABLE AL 5%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
55,"SOLUCIÓN INYECTABLE AL 50 %","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
56,"SOLUCIÓN INYECTABLE AL 7.5%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
57,"SOLUCIÓN NASAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
58,"SOLUCIÓN O EMULSION INYECTABLE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
59,"SOLUCIÓN O SUSPENSIÓN INYECTABLE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
60,"SOLUCIÓN OFTÁLMICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
61,"SOLUCIÓN OFTÁLMICA AL 0.5%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
62,"SOLUCIÓN OFTÁLMICA AL 2%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
63,"SOLUCIÓN OFTÁLMICA AL 4%","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
64,"SOLUCIÓN ORAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
65,"SOLUCIÓN PARA NEBULIZADOR","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
66,"SOLUCIÓN TÓPICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
67,SUPOSITORIO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
68,SUSPENSIÓN,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
69,"SUSPENSIÓN DE VIRUS ATENUADOS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
70,"SUSPENSIÓN DÉRMICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
71,"SUSPENSIÓN EN AEROSOL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
72,"SUSPENSIÓN INYECTABLE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
73,"SUSPENSIÓN INYECTABLE DE LIBERACIÓN PROLONGADA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
74,"SUSPENSIÓN ORAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
75,TABLETA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
76,"TABLETA CON CAPA ENTÉRICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
77,"TABLETA CON CUBIERTA O CAPA ENTÉRICA O TABLETA DE LIBERACIÓN RETARDADA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
78,"TABLETA DE LIBERACIÓN PROLONGADA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
79,"TABLETA MASTICABLE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
80,"TABLETA O CÁPSULA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
81,"TABLETA O CÁPSULA DE LIBERACIÓN PROLONGADA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
82,"TABLETA O COMPRIMIDO O CÁPSULA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
83,"TABLETA O GRAGEA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
84,"TABLETA O GRAGEA DE LIBERACIÓN PROLONGADA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
85,"TABLETA O GRAGEA O CÁPSULA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
86,"TABLETA RECUBIERTA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
87,"TABLETA SOLUBLE O EFERVESCENTE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
88,"TABLETA SUBLINGUAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
89,UNGÜENTO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
90,"UNGÜENTO OFTÁLMICO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
91,"SUSPENSIÓN OFTALMICA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
92,PERLA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
93,MICROEMULSION,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
94,"SOLUCIÓN PARA DIÁLISIS INYECTABLE","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
95,"SOLUCIÓN PARA DIÁLISIS PERITONEAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
96,"SUPLEMENTO ALIMENTICIO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
97,PIEZA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
98,BOLSA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
99,BLOCK,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
100,BOTE,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
101,BOTELLA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
102,CAJA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
103,ENVASE,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
104,EQUIPO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
105,ESTUCHE,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
106,FRASCO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
107,GALON,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
108,LATA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
109,PAQUETE,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
110,ROLLO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
