id,nombre,created_at,updated_at,deleted_at
1,"CONSULTORIO DE MEDICINA FAMILIAR","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
2,EPIDEMIOLOGIA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
3,"CONSULTORIO DE ESTOMATOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
4,"CONSULTORIO DE INMUNIZACIONES","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
5,"CONSULTORIO DE SALUD MENTAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
6,"CONSULTORIO DE GINECOLOGIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
7,"CONSULTORIO DE PEDIATRIA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
8,"MODULO MATER (VIGILANCIA EMBARAZO DE ALTO RIESGO)","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
9,ULTRASONIDO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
10,MASTOGRAFIA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
11,"LABORATORIO CLINICO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
12,"DETECCION Y CONTROL DE RIESGO","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
13,RADIODIAGNOSTICO,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
14,"RAYOS X, ESTUDIOS SIMPLES","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
15,"SERVICIO DE TRANSFUSION","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
16,FARMACIA,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
17,"ALMACEN GENERAL","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
18,"SERVICIOS GENERALES","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
19,"CONEXIÓN AL SERVICIO DE TELEMEDICINA","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
20,"SERVICIOS DE AMBULANCIAS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
21,EVALUACION,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
22,"CURACIONES Y YESOS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
23,"OBSERVACION ADULTOS","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
24,"OBSERVACION MENORES","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
25,"SALA DE LABOR","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
