id,clues,cantidad_causes,cantidad_no_causes,cantidad_material_curacion,created_at,updated_at,deleted_at
1,CSSSA000045,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
2,CSSSA000412,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
3,CSSSA000453,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
4,CSSSA000832,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
5,CSSSA001030,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
6,CSSSA002611,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
7,CSSSA003265,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
8,CSSSA004595,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
9,CSSSA004945,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
10,CSSSA005773,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
11,CSSSA006403,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
12,CSSSA006934,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
13,CSSSA007074,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
14,CSSSA007540,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
15,CSSSA008264,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
16,CSSSA009162,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
17,CSSSA017213,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
18,CSSSA017336,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
19,CSSSA017341,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
20,CSSSA017353,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
21,CSSSA017365,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
22,CSSSA017370,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
23,CSSSA017382,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
24,CSSSA017394,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
25,CSSSA017406,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
26,CSSSA017411,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
27,CSSSA017504,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
28,CSSSA017516,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
29,CSSSA017521,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
30,CSSSA017726,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
31,CSSSA017731,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
32,CSSSA018740,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
33,CSSSA018752,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
34,CSSSA018764,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
35,CSSSA018776,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
36,CSSSA018781,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
37,CSSSA018793,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
38,CSSSA018875,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
39,CSSSA019242,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
40,CSSSA019481,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
41,CSSSA019645,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
42,CSSSA019954,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
43,CSSSAHGREFO,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
44,JURISMOTO10,611,232,578,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
