id,clues,almacen_id,mes,anio,presupuesto_id,proveedor_id,causes_autorizado,causes_modificado,causes_comprometido,causes_devengado,causes_disponible,insumos_autorizado,insumos_modificado,insumos_comprometido,insumos_devengado,insumos_disponible,no_causes_autorizado,no_causes_modificado,no_causes_comprometido,no_causes_devengado,no_causes_disponible,material_curacion_autorizado,material_curacion_modificado,material_curacion_comprometido,material_curacion_devengado,material_curacion_disponible,validation,created_at,updated_at,deleted_at
1,CSSSA007540,000118,4,2017,1,1,642827.16,482545.17,0.00,482545.17,0.00,0.00,0.00,0.00,0.00,0.00,407781.04,399871.04,0.00,399871.04,0.00,617347.84,1554060.24,0.00,1554060.24,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
2,CSSSA019954,000145,4,2017,1,1,1469319.22,945358.12,288144.00,657214.12,0.00,0.00,0.00,0.00,0.00,0.00,932070.95,312548.83,0.00,312548.83,0.00,1411080.77,2411194.82,0.00,2411194.82,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
3,CSSSA000832,00015,4,2017,1,1,245794.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155921.11,0.00,0.00,0.00,0.00,236052.07,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
4,CSSSA000045,00011,4,2017,1,1,183664.90,91976.75,0.00,52731.61,39245.14,0.00,0.00,0.00,0.00,0.00,116508.87,14522.60,0.00,14522.60,0.00,176385.10,302427.15,0.00,96570.39,205856.76,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
5,CSSSAHICCOR,00017,4,2017,1,1,20203.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12815.98,0.00,0.00,0.00,0.00,19402.36,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
6,CSSSA009162,000120,4,2017,1,1,110198.94,87028.12,0.00,87028.12,0.00,0.00,0.00,0.00,0.00,0.00,69905.32,0.00,0.00,0.00,0.00,105831.06,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
7,CSSSAHIBERR,00014,4,2017,1,1,20203.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12815.98,0.00,0.00,0.00,0.00,19402.36,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
8,CSSSA018875,000141,4,2017,1,1,257130.86,114964.36,0.00,114964.36,0.00,0.00,0.00,0.00,0.00,0.00,163112.42,62820.80,0.00,62820.80,0.00,246939.13,673106.11,0.00,673106.11,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
9,CSSSA017516,000131,4,2017,1,1,91832.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58254.43,0.00,0.00,0.00,0.00,88192.55,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
10,CSSSA000412,00012,4,2017,1,1,64282.72,130952.31,64281.84,0.00,66670.47,0.00,0.00,0.00,0.00,0.00,40778.10,40721.80,40721.80,0.00,0.00,61734.78,78768.69,61707.07,0.00,17061.62,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
11,CSSSA017336,000121,4,2017,1,1,1068002.04,199595.28,0.00,199595.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2031752.42,128808.93,0.00,128808.93,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
12,CSSSA017365,000124,4,2017,1,1,314182.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,597697.15,0.00,0.00,0.00,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
13,CSSSA018776,000138,4,2017,1,2,826492.06,269954.42,0.00,269954.42,0.00,0.00,0.00,0.00,0.00,0.00,524289.91,30118.20,0.00,30118.20,0.00,793732.93,623761.03,0.00,623761.03,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
14,CSSSA001030,00016,4,2017,1,2,734659.61,106081.19,0.00,106081.19,0.00,0.00,0.00,0.00,0.00,0.00,466035.47,0.00,0.00,0.00,0.00,705540.38,153556.17,0.00,153556.17,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
15,CSSSA018781,000139,4,2017,1,2,155900.81,31417.82,0.00,31417.82,0.00,0.00,0.00,0.00,0.00,0.00,98896.56,0.00,0.00,0.00,0.00,149721.47,87052.18,0.00,87052.18,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
16,CSSSA003265,00019,4,2017,1,2,243302.60,45327.89,0.00,45327.89,0.00,0.00,0.00,0.00,0.00,0.00,154340.38,0.00,0.00,0.00,0.00,233658.97,56237.10,0.00,56237.10,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
17,CSSSA017504,000130,4,2017,1,2,64282.72,38598.30,0.00,38598.30,0.00,0.00,0.00,0.00,0.00,0.00,40778.10,0.00,0.00,0.00,0.00,61734.78,7634.17,0.00,7634.17,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
18,CSSSA006403,000115,4,2017,1,3,734659.61,210838.27,0.00,210838.27,0.00,0.00,0.00,0.00,0.00,0.00,466035.47,71620.00,0.00,71620.00,0.00,705540.38,2253918.56,0.00,2253918.56,0.00,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
