id,clues,mes,anio,presupuesto_id,proveedor_id,causes_autorizado,causes_modificado,causes_comprometido,causes_devengado,causes_disponible,no_causes_autorizado,no_causes_modificado,no_causes_comprometido,no_causes_devengado,no_causes_disponible,material_curacion_autorizado,material_curacion_modificado,material_curacion_comprometido,material_curacion_devengado,material_curacion_disponible
1,CSSSA007540,4,2017,1,1,642827.1607,642827.1607,0,0,642827.1607,407781.0386,407781.0386,0,0,407781.0386,617347.8355,617347.8355,0,0,617347.8355
2,CSSSA019954,4,2017,1,1,1469319.224,1469319.224,0,0,1469319.224,932070.9454,932070.9454,0,0,932070.9454,1411080.767,1411080.767,0,0,1411080.767
3,CSSSA000832,4,2017,1,1,245794.4653,245794.4653,0,0,245794.4653,155921.1067,155921.1067,0,0,155921.1067,236052.0688,236052.0688,0,0,236052.0688
4,CSSSA000045,4,2017,1,1,183664.903,183664.903,0,0,183664.903,116508.8682,116508.8682,0,0,116508.8682,176385.0959,176385.0959,0,0,176385.0959
5,CSSSA001626,4,2017,1,1,20203.13934,20203.13934,0,0,20203.13934,12815.9755,12815.9755,0,0,12815.9755,19402.36055,19402.36055,0,0,19402.36055
6,CSSSA009162,4,2017,1,1,110198.9418,110198.9418,0,0,110198.9418,69905.3209,69905.3209,0,0,69905.3209,105831.0575,105831.0575,0,0,105831.0575
7,CSSSA000651,4,2017,1,1,20203.13934,20203.13934,0,0,20203.13934,12815.9755,12815.9755,0,0,12815.9755,19402.36055,19402.36055,0,0,19402.36055
8,CSSSA018875,4,2017,1,1,257130.8643,257130.8643,0,0,257130.8643,163112.4154,163112.4154,0,0,163112.4154,246939.1342,246939.1342,0,0,246939.1342
9,CSSSA017516,4,2017,1,1,91832.45152,91832.45152,0,0,91832.45152,58254.43409,58254.43409,0,0,58254.43409,88192.54793,88192.54793,0,0,88192.54793
10,CSSSA000412,4,2017,1,1,64282.71607,64282.71607,0,0,64282.71607,40778.10386,40778.10386,0,0,40778.10386,61734.78355,61734.78355,0,0,61734.78355
11,CSSSA017336,4,2017,1,1,1068002.04,1068002.04,0,0,1068002.04,0,0,0,0,0,2031752.42,2031752.42,0,0,2031752.42
12,CSSSA017365,4,2017,1,1,314182.86,314182.86,0,0,314182.86,0,0,0,0,0,597697.15,597697.15,0,0,597697.15
13,CSSSA018776,4,2017,1,2,826492.0637,826492.0637,0,0,826492.0637,524289.9068,524289.9068,0,0,524289.9068,793732.9314,793732.9314,0,0,793732.9314
14,CSSSA001030,4,2017,1,2,734659.6122,734659.6122,0,0,734659.6122,466035.4727,466035.4727,0,0,466035.4727,705540.3835,705540.3835,0,0,705540.3835
15,CSSSA018781,4,2017,1,2,155900.8113,155900.8113,0,0,155900.8113,98896.55983,98896.55983,0,0,98896.55983,149721.4715,149721.4715,0,0,149721.4715
16,CSSSA003265,4,2017,1,2,243302.6012,243302.6012,0,0,243302.6012,154340.3787,154340.3787,0,0,154340.3787,233658.9731,233658.9731,0,0,233658.9731
17,CSSSA017504,4,2017,1,2,64282.71607,64282.71607,0,0,64282.71607,40778.10386,40778.10386,0,0,40778.10386,61734.78355,61734.78355,0,0,61734.78355
18,CSSSA006403,4,2017,1,2,734659.6122,734659.6122,0,0,734659.6122,466035.4727,466035.4727,0,0,466035.4727,705540.3835,705540.3835,0,0,705540.3835
19,CSSSA002611,4,2017,1,2,183664.903,183664.903,0,0,183664.903,116508.8682,116508.8682,0,0,116508.8682,176385.0959,176385.0959,0,0,176385.0959
20,CSSSA007074,4,2017,1,2,183664.903,183664.903,0,0,183664.903,116508.8682,116508.8682,0,0,116508.8682,176385.0959,176385.0959,0,0,176385.0959
21,CSSSA018740,4,2017,1,2,128565.4321,128565.4321,0,0,128565.4321,81556.20772,81556.20772,0,0,81556.20772,123469.5671,123469.5671,0,0,123469.5671
22,CSSSA000453,4,2017,1,2,309204.2988,309204.2988,0,0,309204.2988,196145.4926,196145.4926,0,0,196145.4926,296948.5676,296948.5676,0,0,296948.5676
23,CSSSA017353,4,2017,1,2,642265.59,642265.59,0,0,642265.59,0,0,0,0,0,1221837.24,1221837.24,0,0,1221837.24
24,CSSSA017394,4,2017,1,2,671987.07,671987.07,0,0,671987.07,0,0,0,0,0,1278378.98,1278378.98,0,0,1278378.98
25,CSSSA017406,4,2017,1,2,170430.11,170430.11,0,0,170430.11,0,0,0,0,0,324223.9,324223.9,0,0,324223.9
