id,clave,nombre,created_at,updated_at,deleted_at
1,pza,Pieza,NULL,NULL,NULL
2,ml,Mililitros,NULL,NULL,NULL
3,mg,Miligramos,NULL,NULL,NULL
4,Lt,Litro,NULL,NULL,NULL
5,gr,Gramos,NULL,NULL,NULL
6,pqt,Paquete/Equipo,NULL,NULL,NULL
7,K,Kilos,NULL,NULL,NULL
8,Mt,Metros,NULL,NULL,NULL
9,gl,Galon,NULL,NULL,NULL
10,mcg,Microgramos,NULL,NULL,NULL
11,%,Porcentaje,NULL,NULL,NULL
12,cc,"Centimetro cúbico",NULL,NULL,NULL
13,cm,Centimetros,NULL,NULL,NULL
14,cm2,"Centimetros cuadrados",NULL,NULL,NULL
15,Fr,"Calibre - Tercera parte de un milímetro ",NULL,NULL,NULL
16,do,Dosis,NULL,NULL,NULL
17,g/m2,"Gramos por metro cuadrado",NULL,NULL,NULL
18,gotas/ml,"Gotas por mililitro",NULL,NULL,NULL
19,Hg,Hectogramo,NULL,NULL,NULL
20,lts,Litros,NULL,NULL,NULL
21,mm,Milímetro,NULL,NULL,NULL
22,ºC,"Grados Celsius",NULL,NULL,NULL
23,oz,Onzas,NULL,NULL,NULL
24,UI,"Unidades internacionales",NULL,NULL,NULL
25,UI/ml,"Unidades internacionales por mililitro",NULL,NULL,NULL
26,V,Voltio,NULL,NULL,NULL
27,bl,Bolsa,NULL,NULL,NULL
28,ro,Rollo,NULL,NULL,NULL
29,Tb,Tera,NULL,NULL,NULL
30,Gb,Giga,NULL,NULL,NULL
31,Mb,Mega,NULL,NULL,NULL
32,Hl,Hectolitro,NULL,NULL,NULL
33,da,Deca,NULL,NULL,NULL
34,d,Deci,NULL,NULL,NULL
35,c,Centi,NULL,NULL,NULL
36,µ,Micro,NULL,NULL,NULL
37,n,Nano,NULL,NULL,NULL
38,p,Pico,NULL,NULL,NULL
