clues,jurisdiccion_id,tipo,nombre,activa,es_offline,director_id,created_at,updated_at,deleted_at
CSSSA000016,7,NULL,"NUEVA REFORMA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000021,7,NULL,"FLOR DEL CARMEN",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000033,7,CS,"LAS BRISAS",1,0,0001102,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000045,1,HBC,"H. B. C. DR. MANUEL VELASCO SUAREZ ACALA",1,0,000115,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000050,1,CS,"VILLA DE ACALA",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000062,1,NULL,"CRUZ CHIQUITA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000074,1,NULL,"LUIS ECHEVERRÍA ÁLVAREZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000086,7,CS,"CENTRO DE SALUD ACAPETAHUA",1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000091,7,CS,"BARRA DE ZACAPULCO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000103,7,CS,"EJIDO LAS MURALLAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000120,7,UM,"UNIDAD MÉDICA MÓVIL ACUÁTICA (LA LUPE)",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000132,7,NULL,"SAN JOSÉ AGUAJAL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000144,7,NULL,"RÍO NEGRO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000156,7,NULL,"FRANCISCO VILLA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000161,9,NULL,"LA GRANDEZA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000173,9,CS,"BIENES COMUNALES LA LAGUNA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000185,9,NULL,"SANTA CECILIA EL PEDREGAL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000190,9,NULL,"NUEVA GALILEA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000202,9,UM,MORELIA,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000214,9,NULL,"SAN MIGUEL CHIPTIC",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000226,5,NULL,"COL. ADOLFO LÓPEZ MATEOS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000243,5,CS,"GUADALUPE VICTORIA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000255,5,UM,"EL LIMÓN",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000260,5,NULL,ESQUIPULAS,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000272,5,NULL,"EL NARANJO 2A. SECCIÓN",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000284,5,CS,"REFORMA Y PLANADA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000301,10,NULL,AGUACATILLO,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000313,10,NULL,CHIQUISBIL,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000325,10,CS,"FRANCISCO I. MADERO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000342,10,NULL,"OJO DE AGUA LAS CRUCES",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000354,10,CS,"PACAYAL FRONTERA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000371,10,CS,"RÍO GUERRERO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000383,10,NULL,"20 DE NOVIEMBRE",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000395,10,NULL,PALESTINA,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000412,4,HBC,"H. B. C. DE ÁNGEL ALBINO CORZO",1,0,000137,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000424,4,NULL,"LIBERTAD EL PAJAL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000436,4,CS,"NUEVA INDEPENDENCIA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000441,4,NULL,"SALVADOR URBINA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000453,8,HO,"HOSPITAL GENERAL JUÁREZ ARRIAGA",1,0,00015,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000465,8,CS,ARRIAGA,1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000470,8,NULL,"LAS ARENAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000482,8,CS,"LA AZTECA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000494,8,NULL,"COL. 5 DE FEBRERO (CALERA)",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000506,8,CS,"PESQUERÍA LA GLORIA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000511,8,CS,"LÁZARO CÁRDENAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000523,8,CS,"PESQUERÍA LA LÍNEA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000535,8,CS,"NICOLÁS BRAVO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000540,8,UM,"EL FORTÍN",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000552,8,NULL,"AGRÍCOLA 20 DE NOVIEMBRE ( LA MICA)",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000564,10,NULL,"EL CERCADILLO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000576,10,CS,"OJO DE AGUA CENTRO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000581,10,CS,BELLAVISTA,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000593,10,UM,CHEMIC,0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000605,10,NULL,"LAS NUBES",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000610,10,CS,"NUEVO PACAYAL",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000622,10,CS,"SAN JOSÉ CHICHARRAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000634,10,CS,"LAS CHICHARRAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000646,10,CS,"OJO DE AGUA CÁRDENAS",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000651,1,CS,BERRIOZÁBAL,1,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000663,1,NULL,"EFRAÍN A. GUTIÉRREZ",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000675,1,NULL,"IGNACIO ZARAGOZA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000680,1,NULL,"SAN MARTÍN",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000692,1,NULL,"CONGREGACIÓN AMENDU",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000704,1,UM,"TIERRA Y LIBERTAD",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000716,5,NULL,"SANTA CRUZ NIHO",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
CSSSA000733,5,NULL,"EMILIANO ZAPATA",0,0,NULL,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
